time,wave_elevation
33.8,-0.00548862
33.9,0.0146757
34.0,-0.0020213
34.1,-0.0541336
34.2,-0.136992
34.3,-0.243327
34.4,-0.364103
34.5,-0.489542
34.6,-0.610204
34.7,-0.717937
34.8,-0.806722
34.9,-0.873135
35.0,-0.916567
35.1,-0.939003
35.2,-0.944534
35.3,-0.938538
35.4,-0.926742
35.5,-0.914199
35.6,-0.904383
35.7,-0.89848
35.8,-0.89498
35.9,-0.889661
36.0,-0.875928
36.1,-0.845534
36.2,-0.78953
36.3,-0.699394
36.4,-0.568172
36.5,-0.391471
36.6,-0.168223
36.7,0.0989078
36.8,0.40355
36.9,0.735982
37.0,1.08391
37.1,1.43348
37.2,1.7704
37.3,2.08113
37.4,2.35388
37.5,2.57944
37.6,2.7516
37.7,2.86734
37.8,2.9266
37.9,2.93183
38.0,2.88739
38.1,2.79871
38.2,2.67171
38.3,2.51211
38.4,2.32509
38.5,2.115
38.6,1.88543
38.7,1.63929
38.8,1.37912
38.9,1.10738
39.0,0.826642
39.1,0.539798
39.2,0.25006
39.3,-0.0391427
39.4,-0.324344
39.5,-0.602341
39.6,-0.870443
39.7,-1.12669
39.8,-1.36996
39.9,-1.59987
40.0,-1.81664
40.1,-2.02072
40.2,-2.21244
40.3,-2.39154
40.4,-2.55687
40.5,-2.70611
40.6,-2.83574
40.7,-2.94122
40.8,-3.01726
40.9,-3.05842
41.0,-3.05966
41.1,-3.01699
41.2,-2.92807
41.3,-2.79261
41.4,-2.61267
41.5,-2.39267
41.6,-2.13913
41.7,-1.8603
41.8,-1.56555
41.9,-1.26473
42.0,-0.967412
42.1,-0.682301
42.2,-0.416688
42.3,-0.176035
42.4,0.0362003
42.5,0.218638
42.6,0.371852
42.7,0.498166
42.8,0.601334
42.9,0.686167
43.0,0.758151
43.1,0.823038
43.2,0.886456
43.3,0.953527
43.4,1.02848
43.5,1.11434
43.6,1.21262
43.7,1.32311
43.8,1.44375
43.9,1.57066
44.0,1.69829
44.1,1.81981
44.2,1.92761
44.3,2.01397
44.4,2.07185
44.5,2.09567
44.6,2.08201
44.7,2.03022
44.8,1.94263
44.9,1.82465
45.0,1.68437
45.1,1.53188
45.2,1.37834
45.3,1.23479
45.4,1.11096
45.5,1.01415
45.6,0.948296
45.7,0.913348
45.8,0.905124
45.9,0.915558
46.0,0.933374
46.1,0.945147
46.2,0.936581
46.3,0.893913
46.4,0.805253
46.5,0.661749
46.6,0.458472
46.7,0.194896
46.8,-0.12501
46.9,-0.493055
47.0,-0.897435
47.1,-1.32361
47.2,-1.75522
47.3,-2.17519
47.4,-2.56662
47.5,-2.91367
47.6,-3.20225
47.7,-3.42052
47.8,-3.55939
47.9,-3.61269
48.0,-3.57742
48.1,-3.45383
48.2,-3.24545
48.3,-2.95903
48.4,-2.60437
48.5,-2.19395
48.6,-1.74246
48.7,-1.26607
48.8,-0.781558
48.9,-0.3053
49.0,0.147779
49.1,0.565221
49.2,0.937843
49.3,1.26035
49.4,1.53143
49.5,1.7536
49.6,1.93253
49.7,2.07601
49.8,2.19278
49.9,2.29106
50.0,2.37739
50.1,2.45559
50.2,2.52615
50.3,2.5861
50.4,2.62942
50.5,2.64793
50.6,2.63249
50.7,2.57443
50.8,2.46695
50.9,2.30632
51.0,2.09267
51.1,1.83029
51.2,1.52735
51.3,1.19518
51.4,0.847045
51.5,0.496794
51.6,0.157425
51.7,-0.160202
51.8,-0.448211
51.9,-0.702141
52.0,-0.920852
52.1,-1.10595
52.2,-1.26091
52.3,-1.38991
52.4,-1.49683
52.5,-1.58431
52.6,-1.65331
52.7,-1.703
52.8,-1.73123
52.9,-1.7352
53.0,-1.71259
53.1,-1.6625
53.2,-1.58634
53.3,-1.48832
53.4,-1.3754
53.5,-1.25682
53.6,-1.14301
53.7,-1.04419
53.8,-0.968839
53.9,-0.922286
54.0,-0.905607
54.1,-0.915095
54.2,-0.94249
54.3,-0.975813
54.4,-1.00094
54.5,-1.00351
54.6,-0.971104
54.7,-0.895146
54.8,-0.772458
54.9,-0.606055
55.0,-0.405087
55.1,-0.183878
55.2,0.03978
55.3,0.246944
55.4,0.420007
55.5,0.545157
55.6,0.614251
55.7,0.626024
55.8,0.586248
55.9,0.506955
56.0,0.404745
56.1,0.29842
56.2,0.20631
56.3,0.143663
56.4,0.120523
56.5,0.140328
56.6,0.199563
56.7,0.288398
56.8,0.392322
56.9,0.494448
57.0,0.578197
57.1,0.629923
57.2,0.6411
57.3,0.609703
57.4,0.540619
57.5,0.444958
57.6,0.338428
57.7,0.238977
57.8,0.164053
57.9,0.127944
58.0,0.139581
58.1,0.201123
58.2,0.307579
58.3,0.447528
58.4,0.604796
58.5,0.760923
58.6,0.897923
